"Step","pretraining - train_loss","pretraining - train_loss__MIN","pretraining - train_loss__MAX"
"1061","1170.9931640625","1170.9931640625","1170.9931640625"
"1062","668.74951171875","668.74951171875","668.74951171875"
"1064","988.6879272460938","988.6879272460938","988.6879272460938"
"1065","456.92828369140625","456.92828369140625","456.92828369140625"
"1066","579.287353515625","579.287353515625","579.287353515625"
"1070","1726.463134765625","1726.463134765625","1726.463134765625"
"1073","64.33641052246094","64.33641052246094","64.33641052246094"
"1074","1764.0679931640625","1764.0679931640625","1764.0679931640625"
"1078","757.1519165039062","757.1519165039062","757.1519165039062"
"1081","602.1463623046875","602.1463623046875","602.1463623046875"
"1084","819.7593383789062","819.7593383789062","819.7593383789062"
"1087","455.88372802734375","455.88372802734375","455.88372802734375"
"1090","571.1205444335938","571.1205444335938","571.1205444335938"
"1096","53.47739028930664","53.47739028930664","53.47739028930664"
"1097","75.04947662353516","75.04947662353516","75.04947662353516"
"1101","1099.3072509765625","1099.3072509765625","1099.3072509765625"
"1103","530.2327880859375","530.2327880859375","530.2327880859375"
"1105","479.6322937011719","479.6322937011719","479.6322937011719"
"1107","659.7115478515625","659.7115478515625","659.7115478515625"
"1112","665.6170654296875","665.6170654296875","665.6170654296875"
"1113","2331.68017578125","2331.68017578125","2331.68017578125"
"1114","643.0537109375","643.0537109375","643.0537109375"
"1116","545.3021850585938","545.3021850585938","545.3021850585938"
"1120","1276.4052734375","1276.4052734375","1276.4052734375"
"1124","148.97940063476562","148.97940063476562","148.97940063476562"
"1127","59.71913146972656","59.71913146972656","59.71913146972656"
"1128","166.89732360839844","166.89732360839844","166.89732360839844"
"1129","66.37024688720703","66.37024688720703","66.37024688720703"
"1130","239.95242309570312","239.95242309570312","239.95242309570312"
"1131","901.4912719726562","901.4912719726562","901.4912719726562"
"1132","1945.54052734375","1945.54052734375","1945.54052734375"
"1135","190.0214080810547","190.0214080810547","190.0214080810547"
"1136","737.9322509765625","737.9322509765625","737.9322509765625"
"1137","216.438232421875","216.438232421875","216.438232421875"
"1140","64.04092407226562","64.04092407226562","64.04092407226562"
"1142","55.55257797241211","55.55257797241211","55.55257797241211"
"1144","80.5567855834961","80.5567855834961","80.5567855834961"
"1147","461.6065368652344","461.6065368652344","461.6065368652344"
"1149","368.1891784667969","368.1891784667969","368.1891784667969"
"1153","94.31637573242188","94.31637573242188","94.31637573242188"
"1154","465.4894104003906","465.4894104003906","465.4894104003906"
"1155","82.94451141357422","82.94451141357422","82.94451141357422"
"1158","278.1299743652344","278.1299743652344","278.1299743652344"
"1159","1095.6090087890625","1095.6090087890625","1095.6090087890625"
"1163","69.5245132446289","69.5245132446289","69.5245132446289"
"1164","81.50088500976562","81.50088500976562","81.50088500976562"
"1165","2659.35302734375","2659.35302734375","2659.35302734375"
"1167","648.7748413085938","648.7748413085938","648.7748413085938"
